Referência;Cor;Tamanho;Coleção;Marcas;Estoque
CV261794.1 - BLUSA COM AVIAMENTO;19-3926 - AZUL (Crown Blue TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261794.1 - BLUSA COM AVIAMENTO;19-1235 - MARROM (Brunette TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261757 - VESTIDO LONGO COM BABADOS;18-1763 - VERMELHO (High Risk Red TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261757 - VESTIDO LONGO COM BABADOS;18-1763 - VERMELHO (High Risk Red TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261711.2 - CALÇA HOT PANT;19-0000 - PRETO (Raven TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261711.2 - CALÇA HOT PANT;16-1526 - NUDE (Terra Cotta TC;PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261711.2 - CALÇA HOT PANT;16-1526 - NUDE (Terra Cotta TC;P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261711.2 - CALÇA HOT PANT;16-1526 - NUDE (Terra Cotta TC;M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261711.1 - BLUSA FRANZIDOS;19-0000 - PRETO (Raven TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261711.1 - BLUSA FRANZIDOS;19-0000 - PRETO (Raven TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261711.1 - BLUSA FRANZIDOS;16-1526 - NUDE (Terra Cotta TC;PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261710 - VESTIDO LISO AMARELO;13-1025 - AMARELO (Impala TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261710 - VESTIDO LISO AMARELO;13-1025 - AMARELO (Impala TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261710 - VESTIDO LISO AMARELO;13-1025 - AMARELO (Impala TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261709 - VESTIDO BABADOS E TELA;15-1308 - NUDE (Doeskin TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261709 - VESTIDO BABADOS E TELA;15-1308 - NUDE (Doeskin TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261709 - VESTIDO BABADOS E TELA;15-1308 - NUDE (Doeskin TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261706 - BODY COM LAÇOS;11-0602 - BRANCO (off white);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261704 - VESTIDO LONGO LAÇOS;18-1763 - VERMELHO (High Risk Red TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261704 - VESTIDO LONGO LAÇOS;18-1763 - VERMELHO (High Risk Red TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261704 - VESTIDO LONGO LAÇOS;11-0605 - BEGE (Jet Stream);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261704 - VESTIDO LONGO LAÇOS;11-0605 - BEGE (Jet Stream);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261704 - VESTIDO LONGO LAÇOS;11-0605 - BEGE (Jet Stream);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261689 - VESTIDO BRILHO;19-3923 - AZUL MARINHO (Navy Blazer);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261546 - VESTIDO TRABALHADO;19-3921 - AZUL  (Black Iris TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261546 - VESTIDO TRABALHADO;12-1403 - BEGE (Tapioca TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261544.2 - BERMUDA ALFAIATARIA;19-3921 - AZUL  (Black Iris TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261544.2 - BERMUDA ALFAIATARIA;19-3921 - AZUL  (Black Iris TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261544.2 - BERMUDA ALFAIATARIA;19-3921 - AZUL  (Black Iris TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;11
CV261544.2 - BERMUDA ALFAIATARIA;19-3921 - AZUL  (Black Iris TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;7
CV261544.2 - BERMUDA ALFAIATARIA;19-3921 - AZUL  (Black Iris TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261544.2 - BERMUDA ALFAIATARIA;12-1403 - BEGE (Tapioca TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261544.1 - COLETE ALFAIATARIA;19-3921 - AZUL  (Black Iris TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261544.1 - COLETE ALFAIATARIA;12-1403 - BEGE (Tapioca TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261544.1 - COLETE ALFAIATARIA;12-1403 - BEGE (Tapioca TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261538.1 - BLUSA LAISE;19-3923 - AZUL MARINHO (Navy Blazer);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261537 - VESTIDO CURTO COM LAÇOS;17-0517 - VERDE (Dusky Green TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261535 - TOP TRICOLINE BABADOS;11-0601 - BRANCO (Bright White TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261535 - TOP TRICOLINE BABADOS;19-3923 - AZUL MARINHO (Navy Blazer);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261533 - VESTIDO MIDI DE ALÇA;19-4035 - AZUL  (Dark Blue TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261533 - VESTIDO MIDI DE ALÇA;19-4035 - AZUL  (Dark Blue TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261533 - VESTIDO MIDI DE ALÇA;15-1119 - BEGE (Taos Taupe TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261531.2 - CALÇA CÓS ELÁSTICO;15-1119 - BEGE (Taos Taupe TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261531.2 - CALÇA CÓS ELÁSTICO;15-1119 - BEGE (Taos Taupe TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261528 - SAIA MIDI COM TERMO;19-3932 - AZUL (Naval Academy);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261528 - SAIA MIDI COM TERMO;15-1316 - NUDE (Maple Sugar TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261528 - SAIA MIDI COM TERMO;15-1316 - NUDE (Maple Sugar TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;5
CV261528 - SAIA MIDI COM TERMO;15-1316 - NUDE (Maple Sugar TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261528 - SAIA MIDI COM TERMO;12-5506 - VERDE (Dusty Aqua Green TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261528 - SAIA MIDI COM TERMO;12-5506 - VERDE (Dusty Aqua Green TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261527 - VESTIDO CURTO SEM MANGA  LISO;15-1316 - NUDE (Maple Sugar TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261527 - VESTIDO CURTO SEM MANGA  LISO;15-1316 - NUDE (Maple Sugar TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261527 - VESTIDO CURTO SEM MANGA  LISO;15-1316 - NUDE (Maple Sugar TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261527 - VESTIDO CURTO SEM MANGA  LISO;15-1316 - NUDE (Maple Sugar TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261527 - VESTIDO CURTO SEM MANGA  LISO;12-5506 - VERDE (Dusty Aqua Green TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261527 - VESTIDO CURTO SEM MANGA  LISO;12-5506 - VERDE (Dusty Aqua Green TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261525.2 - CALÇA WIDE C/ BORDADO BARRA;18-6330 - VERDE (Juniper TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261525.2 - CALÇA WIDE C/ BORDADO BARRA;18-6330 - VERDE (Juniper TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261525.2 - CALÇA WIDE C/ BORDADO BARRA;18-6330 - VERDE (Juniper TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261525.2 - CALÇA WIDE C/ BORDADO BARRA;16-0920 - BEGE (Curds Whey);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261525.1 - CAMISA CROPPED BORDADA;16-0920 - BEGE (Curds Whey);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261525.1 - CAMISA CROPPED BORDADA;16-0920 - BEGE (Curds Whey);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;5
CV261524 - VESTIDO MIDI COM DETALHE FLOR;16-3929 - AZUL (Grapemist TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261524 - VESTIDO MIDI COM DETALHE FLOR;15-1816 - NUDE (Peony TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261524 - VESTIDO MIDI COM DETALHE FLOR;16-0920 - BEGE (Curds Whey);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261524 - VESTIDO MIDI COM DETALHE FLOR;16-0920 - BEGE (Curds Whey);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261524 - VESTIDO MIDI COM DETALHE FLOR;16-0920 - BEGE (Curds Whey);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261523 - CALÇA WIDE COM DETALHE BOLSO;17-1221 - MARROM (Macchiato TCX);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261523 - CALÇA WIDE COM DETALHE BOLSO;19-3921 - AZUL  (Black Iris TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261523 - CALÇA WIDE COM DETALHE BOLSO;19-3921 - AZUL  (Black Iris TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261523 - CALÇA WIDE COM DETALHE BOLSO;18-1444 - MARROM (Red Earth TC;G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261521.2 - SHORT ALFAIATARIA COM CINTO;15-1314 - MARROM (Cuban Sand TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261521.2 - SHORT ALFAIATARIA COM CINTO;15-1314 - MARROM (Cuban Sand TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261521.2 - SHORT ALFAIATARIA COM CINTO;15-1314 - MARROM (Cuban Sand TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;5
CV261521.2 - SHORT ALFAIATARIA COM CINTO;15-1314 - MARROM (Cuban Sand TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261521.2 - SHORT ALFAIATARIA COM CINTO;17-0517 - VERDE (Dusky Green TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261521.2 - SHORT ALFAIATARIA COM CINTO;19-0000 - PRETO (Raven TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261521.2 - SHORT ALFAIATARIA COM CINTO;19-0000 - PRETO (Raven TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261521.1 - BLAZER ALONGADO COM BOLSOS;15-1214 - BEGE  (Warm Sand TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261520 - BODY CAMISA LISO;11-0602 - BRANCO (off white);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261519 - VESTIDO BABADO;18-3945 - AZUL (Amparo Blue TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261519 - VESTIDO BABADO;18-3945 - AZUL (Amparo Blue TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261519 - VESTIDO BABADO;17-1224 - MARROM (Camel TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261519 - VESTIDO BABADO;17-1224 - MARROM (Camel TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261519 - VESTIDO BABADO;17-1224 - MARROM (Camel TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261519 - VESTIDO BABADO;18-1630 - ROSE (Dusty Cedar TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261515 - REGATA JUSTA;16-3929 - AZUL (Grapemist TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261515 - REGATA JUSTA;16-3929 - AZUL (Grapemist TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261515 - REGATA JUSTA;16-3929 - AZUL (Grapemist TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261515 - REGATA JUSTA;15-0955 - AMARELO (Old Gold TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;6
CV261515 - REGATA JUSTA;15-0955 - AMARELO (Old Gold TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261515 - REGATA JUSTA;15-0955 - AMARELO (Old Gold TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261513.2 - SHORT LINHO;11-4300 - BRANCO (Marshmallow TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261513.2 - SHORT LINHO;15-0955 - AMARELO (Old Gold TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261513.2 - SHORT LINHO;15-0955 - AMARELO (Old Gold TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;5
CV261513.2 - SHORT LINHO;15-0955 - AMARELO (Old Gold TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261511 - VESTIDO LAÇO;13-0752 - AMARELO (Lemon TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261511 - VESTIDO LAÇO;13-0752 - AMARELO (Lemon TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261511 - VESTIDO LAÇO;13-0752 - AMARELO (Lemon TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261510.2 - CALÇA LEVE;18-0930 - MARROM (Coffee Liqueúr TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261510.2 - CALÇA LEVE;13-0752 - AMARELO (Lemon TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261510.1 - FRENTE UNICA;18-1763 - VERMELHO (High Risk Red TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261507 - SAIA FLOR;14-0850 - AMARELO (Daffodil TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261507 - SAIA FLOR;14-0850 - AMARELO (Daffodil TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261507 - SAIA FLOR;11-0601 - BRANCO (Bright White TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261507 - SAIA FLOR;19-1763 - VERMELHO (Formula One TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261507 - SAIA FLOR;19-1763 - VERMELHO (Formula One TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261507 - SAIA FLOR;19-1763 - VERMELHO (Formula One TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261505 - SHORT SAIA ALFAIATARIA;12-0712 - BEGE (Vanilla TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261505 - SHORT SAIA ALFAIATARIA;12-0712 - BEGE (Vanilla TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261505 - SHORT SAIA ALFAIATARIA;12-0712 - BEGE (Vanilla TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261505 - SHORT SAIA ALFAIATARIA;19-0000 - PRETO (Raven TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261505 - SHORT SAIA ALFAIATARIA;19-0000 - PRETO (Raven TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261505 - SHORT SAIA ALFAIATARIA;19-0000 - PRETO (Raven TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261505 - SHORT SAIA ALFAIATARIA;17-4427 - AZUL (Bluejay TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261505 - SHORT SAIA ALFAIATARIA;17-4427 - AZUL (Bluejay TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261503 - REGATA ALFAIATARIA DUAS ALÇAS;12-0712 - BEGE (Vanilla TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261503 - REGATA ALFAIATARIA DUAS ALÇAS;19-0000 - PRETO (Raven TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261502.C - COORDENADO CAMISA E CALÇA;CC0143-E - CV26R002 FLORAL BLUR V2 (CV261502.2) ALT2 - NEO STD;PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261502.C - COORDENADO CAMISA E CALÇA;CC0143-E - CV26R002 FLORAL BLUR V2 (CV261502.2) ALT2 - NEO STD;P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261502.C - COORDENADO CAMISA E CALÇA;CC0143-E - CV26R002 FLORAL BLUR V2 (CV261502.2) ALT2 - NEO STD;M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;6
CV261502.C - COORDENADO CAMISA E CALÇA;CC0143-E - CV26R002 FLORAL BLUR V2 (CV261502.2) ALT2 - NEO STD;G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261502.C - COORDENADO CAMISA E CALÇA;CC0143-E - CV26R002 FLORAL BLUR V2 (CV261502.2) ALT2 - NEO STD;GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;7
CV261502.2 - CALÇA DE LAISE;CC0143-E - CV26R002 FLORAL BLUR V2 (CV261502.2) ALT2 - NEO STD;M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261500 - SAIA FLÚIDA COM PONTAS;11-0605 - BEGE (Jet Stream);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261497.C - COORDENADO COLETE E CALÇA;12-0815 - BEGE (Vanilla Custard TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261497.C - COORDENADO COLETE E CALÇA;12-0815 - BEGE (Vanilla Custard TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261497.2 - CALÇA ALAFAIATARIA;12-0815 - BEGE (Vanilla Custard TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261497.2 - CALÇA ALAFAIATARIA;12-0815 - BEGE (Vanilla Custard TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;7
CV261497.2 - CALÇA ALAFAIATARIA;12-0815 - BEGE (Vanilla Custard TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261497.2 - CALÇA ALAFAIATARIA;12-0815 - BEGE (Vanilla Custard TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261497.2 - CALÇA ALAFAIATARIA;12-0815 - BEGE (Vanilla Custard TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261497.2 - CALÇA ALAFAIATARIA;19-0000 - PRETO (Raven TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261497.2 - CALÇA ALAFAIATARIA;19-0000 - PRETO (Raven TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261497.2 - CALÇA ALAFAIATARIA;19-0000 - PRETO (Raven TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261497.1 - COLETE FRENTE ÚNICA;12-0815 - BEGE (Vanilla Custard TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261497.1 - COLETE FRENTE ÚNICA;12-0815 - BEGE (Vanilla Custard TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261497.1 - COLETE FRENTE ÚNICA;12-0815 - BEGE (Vanilla Custard TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261497.1 - COLETE FRENTE ÚNICA;12-0815 - BEGE (Vanilla Custard TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261497.1 - COLETE FRENTE ÚNICA;19-0000 - PRETO (Raven TC);PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261497.1 - COLETE FRENTE ÚNICA;19-0000 - PRETO (Raven TC);P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;4
CV261497.1 - COLETE FRENTE ÚNICA;19-0000 - PRETO (Raven TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261497.1 - COLETE FRENTE ÚNICA;19-0000 - PRETO (Raven TC);G;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;2
CV261497.1 - COLETE FRENTE ÚNICA;19-0000 - PRETO (Raven TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261496 - VESTIDO MULLET BORDADO;12-0712 - BEGE (Vanilla TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261496 - VESTIDO MULLET BORDADO;19-0000 - PRETO (Raven TC);GG;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261494 - VESTIDO COM CINTO;18-2336 - ROXO (ROSA BRMELIA;PP;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261494 - VESTIDO COM CINTO;18-2336 - ROXO (ROSA BRMELIA;P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
CV261493.1 - CAMISA ESTAMPADA;CC0137-E - CV26L011 FLORAL BLUR CROPPED (CV261493.1) - NEO STD-;M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;7
CV261490.2 - CALÇA PIJAMA CÓS ELASTICO;CC0134-E - CV26R008 - ACQUA ALT4 - ESTAMPA DIGITAL;P;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261490.2 - CALÇA PIJAMA CÓS ELASTICO;CC0134-E - CV26R008 - ACQUA ALT4 - ESTAMPA DIGITAL;M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;3
CV261488 - MACACÃO CURTO TOMARA-QUE-CAIA;19-1761 - VERMELHO  (Tango Red TC);M;CARLOTA COSTA VERÃO 2026;FR CARLOTA COSTA;1
